Unnamed: 0,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Temperature_C
212,Assam,BAKSA,2011,Kharif     ,Tapioca,275.0,2441.0,26.5
213,Assam,BAKSA,2011,Kharif     ,Tobacco,5.0,2.0,23.9
214,Assam,BAKSA,2011,Rabi       ,Arecanut,2600.0,2361.0,21.6
215,Assam,BAKSA,2011,Rabi       ,Black pepper,82.0,142.0,20.0
216,Assam,BAKSA,2011,Rabi       ,Dry chillies,732.0,353.0,25.7
217,Assam,BAKSA,2011,Rabi       ,Ginger,440.0,3075.0,25.3
218,Assam,BAKSA,2011,Rabi       ,Gram,69.0,31.0,21.9
219,Assam,BAKSA,2011,Rabi       ,Linseed,623.0,401.0,26.6
220,Assam,BAKSA,2011,Rabi       ,Masoor,2229.0,858.0,20.7
221,Assam,BAKSA,2011,Rabi       ,Moong(Green Gram),282.0,136.0,25.3
222,Assam,BAKSA,2011,Rabi       ,Peas & beans (Pulses),1138.0,924.0,21.5
223,Assam,BAKSA,2011,Rabi       ,Pineapple,325.0,5322.0,26.9
224,Assam,BAKSA,2011,Rabi       ,Rapeseed &Mustard,8535.0,4333.0,22.0
225,Assam,BAKSA,2011,Rabi       ,Sweet potato,185.0,1068.0,26.1
226,Assam,BAKSA,2011,Rabi       ,Urad,2088.0,1119.0,27.5
227,Assam,BAKSA,2011,Rabi       ,Wheat,380.0,576.0,24.9
228,Assam,BAKSA,2011,Summer     ,Paddy,2500.0,5595.0,20.0
229,Assam,BAKSA,2011,Summer     ,Rice,2500.0,5595.0,22.6
230,Assam,BAKSA,2011,Whole Year ,Banana,1250.0,19425.0,25.5
231,Assam,BAKSA,2011,Whole Year ,Coconut ,1100.0,5183.0,22.2
232,Assam,BAKSA,2011,Whole Year ,Onion,226.0,677.0,23.1
233,Assam,BAKSA,2011,Whole Year ,Potato,3237.0,18544.0,27.9
234,Assam,BAKSA,2011,Whole Year ,Sugarcane,325.0,9636.0,21.8
235,Assam,BAKSA,2011,Whole Year ,Turmeric,632.0,785.0,22.9
236,Assam,BAKSA,2011,Winter     ,Paddy,85450.0,153149.0,14.0
237,Assam,BAKSA,2011,Winter     ,Rice,85450.0,153149.0,16.2
238,Assam,BAKSA,2012,Autumn     ,Paddy,11780.0,16636.0,24.8
239,Assam,BAKSA,2012,Autumn     ,Rice,11780.0,16636.0,26.4
240,Assam,BAKSA,2012,Kharif     ,Arhar/Tur,210.0,168.0,29.9
241,Assam,BAKSA,2012,Kharif     ,Castor seed,25.0,16.0,21.7
242,Assam,BAKSA,2012,Kharif     ,Cotton(lint),10.0,4.0,20.2
243,Assam,BAKSA,2012,Kharif     ,Jute,590.0,3372.0,21.7
244,Assam,BAKSA,2012,Kharif     ,Maize,285.0,272.0,22.6
245,Assam,BAKSA,2012,Kharif     ,Mesta,171.0,695.0,20.4
246,Assam,BAKSA,2012,Kharif     ,Niger seed,385.0,207.0,22.4
247,Assam,BAKSA,2012,Kharif     ,Orange,305.0,2958.0,27.4
248,Assam,BAKSA,2012,Kharif     ,Papaya,330.0,6562.0,22.2
249,Assam,BAKSA,2012,Kharif     ,Sesamum,275.0,185.0,24.8
250,Assam,BAKSA,2012,Kharif     ,Small millets,280.0,128.0,21.2
